"results_id","report_id","Year","farm_area","lineitem_code","co2_dir_emissions_diesel_kgco2e","co2_dir_emissions_electricity_kgco2e","co2_dir_emissions_other_fuels_kgco2e","co2_dir_emissions_renewable_electricity_kgco2e","co2_dir_emissions_renewable_heat_kgco2e","co2_direct_co2_kgco2e","co2_dir_ind_emissions_fertiliser_kgco2e","co2_dir_ind_emissions_lime_kgco2e","co2_dir_ind_emissions_biochar_kgco2e","co2_dir_ind_emissions_feed_kgco2e","co2_dir_ind_emissions_bedding_kgco2e","co2_dir_ind_emissions_pesticides_kgco2e","co2_dir_ind_emissions_waste_kgco2e","co2_dir_ind_emissions_refrigerant_losses_kgco2e","co2_dir_ind_emissions_disposal_of_carcasses_kgco2e","co2_dir_ind_emissions_transport_kgco2e","co2_indirect_co2_kgco2e","co2_indirect_co2_kgco2e_sc","co2_total_from_energy_use_kgco2e","co2_total_from_energy_use_kgco2e_sc","methane_enteric_fermentation_feed_digestion_kgco2e","methane_enteric_manure_mgmt_kgco2e","methane_total_kgco2e","nitrous_oxide_vol_inorganic_and_imp_org_man_soil_kgco2e","nitrous_oxide_vol_grazing_dep_man_mgmt_org_man_soil_kgco2e","nitrous_oxide_veg_crop_n_residues_kgco2e","nitrous_oxide_total_kgco2e","carbon_seq_soil_carbon_kgco2e","carbon_seq_biochar_kgco2e","carbon_seq_total_kgco2e","total_co2e_emissions_from_farming_kgco2e","total_co2e_emissions_from_farming_kgco2e_sc","emissions_per_unit_of_output_kgco2e_kg_output","emissions_per_unit_of_output_kgco2e_kg_output_sc","farm_and_enterprise_output_kg","sequestration_by_forestry","sequestration_by_hedges","energy_offset_renewables","net_emissions_from_land_use","net_emissions_from_land_use_sc","emissions_meat_kgco2e","emissions_meat_kgco2e_sc","emissions_wool_kgco2e","emissions_wool_kgco2e_sc","emissions_milk_kgco2e","emissions_milk_kgco2e_sc","emissions_eggs_kgco2e","emissions_eggs_kgco2e_sc","emissions_crop_kgco2e","emissions_crop_kgco2e_sc","emissions_straw_kgco2e","emissions_straw_kgco2e_sc","emissions_per_lu_equivalent_kgco2e_lu","emissions_per_lu_equivalent_kgco2e_lu_sc","emissions_per_unit_of_output_kg_lwt_kgco2e_kg_output","emissions_per_unit_of_output_kg_lwt_kgco2e_kg_output_sc","emissions_per_unit_of_output_kg_dwt_kgco2e_kg_output","emissions_per_unit_of_output_kg_dwt_kgco2e_kg_output_sc","emissions_per_unit_of_output_kg_milk_solids_kgco2e_kg_output","emissions_per_unit_of_output_kg_milk_solids_kgco2e_kg_output_sc","emissions_per_unit_of_output_kg_eggs_kgco2e_kg_output","emissions_per_unit_of_output_kg_eggs_kgco2e_kg_output_sc","emissions_per_unit_of_output_kg_wool_kgco2e_kg_output","emissions_per_unit_of_output_kg_wool_kgco2e_kg_output_sc","emissions_per_unit_of_output_kg_straw_kgco2e_kg_output","emissions_per_unit_of_output_kg_straw_kgco2e_kg_output_sc","emissions_per_adjusted_hectare_kgco2e_ha","emissions_per_adjusted_hectare_kgco2e_ha_sc"
29260867,11385,2020,0,"WHOLE_FARM",156381.169336,65643.077848,11575.749522,0,0,233599.996752,117635.33909,0,0,1757714.195,200565.3,117.703985416,76.7088,0,9653.475,0,2085762.72163,2085762.72163,2319362.71824,2319362.71824,2592933.9626,1283685.55802,3876619.5209,65800.22844,628229.8758,86917.212714,780947.316914,2752542.20344,0,2752542.20344,6976929.55677,9729471.76051,0,0,4488273.85724,0,0,0,0,0,2615636.10887,2995696.77701,19962.82636,29065.33706,4341330.621,6704709.646,0,0,0,0,0,0,15014.067939,21301.816545,18.839334945,22.035258025,37.907777716,44.972252805,1.14104415,1.762217714,0,0,7.186042606,10.46268433,0,0,25884.201751,33777.175658
28510076,18882,2020,0,"BEEF",6037.323552,966.9,1278.92,0,0,8283.143552,0,0,0,26316.325,33880,0,0,0,0,0,60196.325,60196.325,68479.46855,68479.46855,0,0,0,0,0,61.190514,61.190514,-20812.13456,0,-20812.13456,68540.65907,47728.52451,0,0,5580.69874,0,0,0,0,0,68540.65907,47728.52451,0,0,0,0,0,0,0,0,0,0,1700.760771,1184.330633,6.12089309,4.26230503,12.28173429,8.552428062,0,0,0,0,0,0,0,0,6854.065907,4772.852451
29260869,11385,2020,0,"SHEEP",20004.29544,2425.629878,1383.327335,0,0,23813.25266,26372.31636,0,0,35380.96,0,0.174474616,0,0,198.9,0,61952.35083,61952.35083,85765.60349,85765.60349,464483.7167,12310.23962,476793.9563,10957.53428,119398.4388,2234.67678,132590.6498,316969.757,0,316969.757,695150.2097,1012119.967,0,0,39748.3395,0,0,0,0,0,675187.3833,983054.6296,19962.82636,29065.33706,0,0,0,0,0,0,0,0,5015.513778,7302.452862,8.218326545,11.96566191,18.26294788,26.59035981,0,0,0,0,7.186042606,10.46268433,0,0,4361.552594,6350.303007
29260870,11385,2020,0,"DAIRY",128287.4368,20759.90207,8913.502187,0,0,157960.8411,91263.02273,0,0,1173630.66,137645.3,117.5295108,0,0,2822.625,0,1405479.137,1405479.137,1563439.978,1563439.978,1996163.058,443282.6596,2439445.718,54842.69416,369824.354,84621.34542,509288.3936,2456384.581,0,2456384.581,4512174.09,6968558.671,0,0,3842409.449,0,0,0,0,0,170843.4685,263849.0249,0,0,4341330.621,6704709.646,0,0,0,0,0,0,8297.79339,12815.03305,2.401173134,3.708348909,4.530515347,6.996884734,1.14104415,1.762217714,0,0,0,0,0,0,14668.58325,22654.0202
28510076,11845,2020,0,"PIGS",2052.113544,41490.6459,0,0,0,43542.75944,0,0,0,522386.25,29040,0,76.7088,0,6631.95,0,558134.9088,558134.9088,601677.6682,601677.6682,132287.1879,828092.6588,960379.8466,0,139007.083,0,139007.083,0,0,0,1701064.598,1701064.598,0,0,600535.37,0,0,0,0,0,1701064.598,1701064.598,0,0,0,0,0,0,0,0,0,0,0,0,2.098942176,2.098942176,2.832580199,2.832580199,0,0,0,0,0,0,0,0,0,0
30774833,17501,2021,0,"WHOLE_FARM",170098.801366,64453.591503,10723.513759,0,0,245275.906652,133287.19683,0,0,2437530.859,48571,121.098679686,1630.3896,0,12425.4,0,2633565.94397,2633565.94397,2878841.850282,2878841.850282,2605739.960699,1250192.05458163,3855932.01498,50520.486919,647173.9413301,88679.471951,786373.9002301,-10841.17301,0,-10841.17301,7513067.252182,7502226.078882,0,0,4188514.007,0,8080.51456,0,0,0,2320147.771482,2360317.154182,38232.65152,40415.48463,5154686.829,5101493.44,0,0,0,0,0,0,17992.5055008,18153.9682668,18.597009989,19.243339396,38.241223348,39.693770483,1.45695704,1.441922085,0,0,13.76265354,14.54841059,0,0,23179.040299,23280.795933
30774834,17501,2021,0,"BEEF",798.143112,170.599836,50.773124,0,0,1019.516072,0,0,0,0,1210,0,517.8936,0,37.44,0,1765.3336,1765.3336,2784.849672,2784.849672,1849.742899,55.23698163,1904.97988,0,277.5548301,0,277.5548301,0,0,0,4967.384382,4967.384382,0,0,0,0,0,0,0,0,4967.384382,4967.384382,0,0,0,0,0,0,0,0,0,0,811.6641148,811.6641148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30774835,17501,2021,0,"SHEEP",25342.12591,3834.939367,1611.938563,0,0,30789.00384,20219.62043,0,0,36436.2,4840,0.250537486,517.8936,0,1102.725,0,63116.68957,63116.68957,93905.69341,93905.69341,521055.3599,14372.7436,535428.1035,7051.908299,139087.3007,1163.234311,147302.4433,44182.99364,0,44182.99364,773871.8058,818054.7995,0,0,29980.05,0,2764.434374,0,0,0,735639.1543,777639.3148,38232.65152,40415.48463,0,0,0,0,0,0,0,0,5025.141596,5312.044152,12.16958352,12.86438675,27.04351894,28.58752612,0,0,0,0,13.76265354,14.54841059,0,0,5057.640039,5346.398043
30774836,17501,2021,0,"DAIRY",141906.4188,18957.4064,9060.802072,0,0,169924.6273,113067.5764,0,0,2177642.659,13481,120.8481422,517.8936,0,4653.285,0,2309483.262,2309483.262,2479407.889,2479407.889,1950547.67,407671.4152,2358219.085,43468.57862,368802.0028,87516.23764,499786.8191,-55024.16665,0,-55024.16665,5332097.714,5277073.547,0,0,3557998.587,0,5316.080186,0,0,0,177410.8848,175580.107,0,0,5154686.829,5101493.44,0,0,0,0,0,0,12155.69979,12030.26,4.697339013,4.64886519,8.862903799,8.771443754,1.45695704,1.441922085,0,0,0,0,0,0,18121.40026,17934.39789
30774837,17501,2021,0,"PIGS",2052.113544,41490.6459,0,0,0,43542.75944,0,0,0,223452,29040,0,76.7088,0,6631.95,0,259200.6588,259200.6588,302743.4182,302743.4182,132287.1879,828092.6588,960379.8466,0,139007.083,0,139007.083,0,0,0,1402130.348,1402130.348,0,0,600535.37,0,0,0,0,0,1402130.348,1402130.348,0,0,0,0,0,0,0,0,0,0,0,0,1.730087456,1.730087456,2.334800609,2.334800609,0,0,0,0,0,0,0,0,0,0
31028705,30429,2022,0,"WHOLE_FARM",153424.9718,92098.96542,17158.0163,0,0,262681.9535,97916.5785,0,0,1402490.73,128851.9,216.4920895,1630.3728,0,10375.95,0,1641482.023,1641482.023,1904163.977,1904163.977,2649401.175,1261062.349,3910463.523,40639.90941,658048.5554,98143.95299,796832.4178,-42524.82801,0,-42524.82801,6598295.118,6555770.29,1.490312773,1.480707975,4427456.596,417740.4,13164.8,0,6180554.718,6138029.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14124.5748,14033.54445
31028706,30429,2022,0,"BEEF",16631.70584,0,0,0,0,16631.70584,0,0,0,27026.55,726,0,318.864,0,75.66,0,28147.074,28147.074,44778.77984,44778.77984,53753.4928,1605.185616,55358.67842,0,5626.997339,0,5626.997339,0,0,0,105764.4556,105764.4556,0,0,4558,0,0,0,0,0,105764.4556,105764.4556,0,0,0,0,0,0,0,0,0,0,10544.81113,10544.81113,12.29819251,12.29819251,23.20413681,23.20413681,0,0,0,0,0,0,0,0,0,0
31028707,30429,2022,0,"SHEEP",10150.8086,0,9259.720481,0,0,19410.52908,5913.62728,0,0,30120,0,1.183507629,33.6,0,506.415,0,36574.82579,36574.82579,55985.35487,55985.35487,474336.7603,12284.33923,486621.0995,2658.792336,133261.3858,629.185623,136549.3638,133535.4124,0,133535.4124,676888.2602,810423.6725,0,0,27670.25,0,2267.557956,0,0,0,643591.9004,770558.6613,33296.35972,39865.01128,0,0,0,0,0,0,0,0,5222.903242,6253.269078,11.88206223,14.22613609,26.40458272,31.61363575,0,0,0,0,10.10205089,12.09496702,0,0,9168.544973,10977.30058
31028708,30429,2022,0,"DAIRY",124828.6209,21084.80154,5396.114416,0,0,151309.5368,92002.95122,0,0,1121892.18,99085.9,215.3085819,1201.2,0,3161.925,0,1317559.465,1317559.465,1468869.002,1468869.002,1989023.734,419080.1649,2408103.899,37981.11707,380153.0893,97514.76736,515648.9737,-176060.2404,0,-176060.2404,4381848.411,4205788.17,0,0,3794692.976,0,10773.46307,0,0,0,120624.5729,115777.9444,0,0,4261223.838,4090010.226,0,0,0,0,0,0,8999.267035,8637.681474,2.318811474,2.225642914,4.375115988,4.199326253,1.131161511,1.085712068,0,0,0,0,0,0,12492.34172,11990.40636
31028709,30429,2022,0,"PIGS",1813.836492,71014.16388,2502.181402,0,0,75330.18177,0,0,0,223452,29040,0,76.7088,0,6631.95,0,259200.6588,259200.6588,334530.8406,334530.8406,132287.1879,828092.6588,960379.8466,0,139007.083,0,139007.083,0,0,0,1433917.77,1433917.77,0,0,600535.37,0,0,0,0,0,1433917.77,1433917.77,0,0,0,0,0,0,0,0,0,0,0,0,1.76930993,1.76930993,2.387732416,2.387732416,0,0,0,0,0,0,0,0,0,0
